id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1,Área de texto 2,Área de texto 3,Área de texto 4,Área de texto 5,Área de texto 6,Área de texto 7,Área de texto 8,Área de texto 9,Área de texto 10,Área de texto 11,Área de texto 12,Área de texto 13,Área de texto 14,Área de texto 15
1,Página,,,,,,,,Página 1,,,,,,,,,,,,,,
2,Entidad,Relación entre entidades,1,,,,,,problem,PK,id,FK,sectionid,,nombre,,contenido,,,,,,
3,Entidad,Relación entre entidades,1,,,,,,questions,PK,id,FK,test_id,,texto,,,,,,,,
4,Entidad,Relación entre entidades,1,,,,,,tests,PK,id,FK,sectionid,,titulo,,,,,,,,
5,Entidad,Relación entre entidades,1,,,,,,users,PK,email,,password,,role,,feedback,,,,,,
6,Entidad,Relación entre entidades,1,,,,,,theory,PK,id,FK,sectionid,,titulo,,contenido,,,,,,
7,Entidad,Relación entre entidades,1,,,,,,sections,PK,id,,nombre,,priority,,,,,,,,
8,Entidad,Relación entre entidades,1,,,,,,answers,PK,id,FK,pregunta_id,,texto,,correcta,,,,,,
9,Entidad,Relación entre entidades,1,,,,,,book,PK,id,FK,sectionid,,name,,author,,editorial,,isbn,,link
10,Entidad,Relación entre entidades,1,,,,,,calc tool,PK,id,FK,sectionid,,,,,,,,,,
11,Línea,,1,,4,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,
12,Línea,,1,,2,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,
13,Línea,,1,,6,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,
14,Línea,,1,,9,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,
15,Línea,,1,,8,3,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,
16,Línea,,1,,3,4,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,
17,Línea,,1,,10,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,